section,metric,key,value
T1,stronger_winrate,N2_vs_N1,0.7
T1,stronger_winrate_starts,N2_vs_N1,0.8
T1,stronger_winrate_second,N2_vs_N1,0.6
T1,pass,N2_vs_N1,true
T1,stronger_winrate,N3_vs_N2,1
T1,stronger_winrate_starts,N3_vs_N2,1
T1,stronger_winrate_second,N3_vs_N2,1
T1,pass,N3_vs_N2,true
T1,stronger_winrate,N4_vs_N3,0.75
T1,stronger_winrate_starts,N4_vs_N3,0.7
T1,stronger_winrate_second,N4_vs_N3,0.8
T1,pass,N4_vs_N3,true
T1,stronger_winrate,N5_vs_N4,1
T1,stronger_winrate_starts,N5_vs_N4,1
T1,stronger_winrate_second,N5_vs_N4,1
T1,pass,N5_vs_N4,true
T2,p50_ms,N1,1.33
T2,p95_ms,N1,20.24
T2,budget_ms,N1,100
T2,pass,N1,false
T2,p50_ms,N2,6.43
T2,p95_ms,N2,50.3
T2,budget_ms,N2,250
T2,pass,N2,false
T2,p50_ms,N3,100.13
T2,p95_ms,N3,101.1
T2,budget_ms,N3,500
T2,pass,N3,true
T2,p50_ms,N4,200.13
T2,p95_ms,N4,201.16
T2,budget_ms,N4,1000
T2,pass,N4,true
T2,p50_ms,N5,400.14
T2,p95_ms,N5,401.3
T2,budget_ms,N5,2000
T2,pass,N5,true
T3,invalid_rate,global,0
T3,pass,global,true
T4,divergence_rate,global,0.3696
T4,pass,global,false
P,p1_rate,global,1
P,p5_rate,global,1
P,p6_rate,global,1
P,p7_rate,global,1
P,p1_pass,global,true
P,p5_pass,global,true
P,p6_pass,global,true
P,p7_pass,global,true
